Student ID,Gender,Age,School,math_score,reading_score,writing_score,class_performance
169,Female,19,A,45,65,47,F
170,Male,21,C,87,32,34,F
171,Female,20,D,31,93,,F
172,Female,20,C,49,98,,C
173,Male,19,E,67,54,51,F
174,Male,21,E,53,52,40,F
175,Female,17,C,42,43,,F
176,Female,17,C,27,66,55,F
177,Female,17,E,53,72,42,F
178,Male,21,A,28,66,78,F
179,Male,17,B,,61,90,D
180,Male,21,D,73,92,97,B
181,Male,20,D,99,87,29,C
182,Male,20,B,48,55,59,F
183,Female,17,E,67,71,,D
184,Male,20,A,72,75,26,F
185,Male,21,A,98,61,100,B
186,Male,19,C,96,39,79,C
187,Male,18,E,82,73,63,C
188,Male,21,E,62,,81,D
189,Female,21,D,64,42,42,F
190,Male,17,C,28,64,79,F
191,Female,18,B,34,74,90,D
192,Male,20,B,91,43,85,C
193,Female,17,C,73,30,40,F
194,Male,20,A,88,36,19,F
195,Male,21,E,32,43,,F
196,Male,20,E,82,47,38,F
197,Male,18,B,64,43,73,D
198,Male,19,A,40,49,72,F
199,Female,20,C,31,66,55,F
200,Female,20,D,55,30,27,F
201,Male,20,B,77,34,,D
202,Female,17,E,69,79,58,D
203,Male,19,D,85,51,39,F
204,Male,20,E,47,92,49,D
205,Female,17,A,51,,38,F
206,Female,19,E,84,71,31,D
207,Female,17,E,,75,98,B
208,Female,17,B,79,80,81,B
209,Male,17,B,79,,44,D
210,Female,20,B,33,81,71,D
211,Female,18,A,83,38,,F
212,Male,19,D,70,,98,C
213,Male,19,E,70,96,56,C
214,Male,18,D,83,52,93,C
215,Female,17,A,100,68,86,B
216,Female,17,A,61,42,41,F
217,Male,18,D,63,45,66,F
218,Female,18,E,31,56,52,F
219,Male,21,D,41,22,50,F
220,Male,17,E,98,73,81,B
221,Male,17,E,62,,57,D
222,Male,20,D,94,63,40,D
223,Male,17,A,54,94,40,D
224,Male,21,E,93,60,87,B
225,Female,20,B,53,64,99,C
226,Male,17,C,70,42,68,D
227,Male,21,B,25,43,70,F
228,Female,19,E,72,45,41,F
229,Female,18,C,57,99,9,B
230,Female,17,E,93,57,51,D
231,Female,17,B,38,37,65,F
232,Female,18,C,41,64,64,F
233,Male,18,E,98,95,43,C
234,Female,18,C,34,60,98,D
235,Female,18,B,80,26,68,F
236,Male,17,A,,55,42,D
237,Female,20,B,70,38,62,F
238,Male,17,D,85,66,71,C
239,Male,20,D,98,,67,C
240,Male,17,B,53,59,,F
241,Female,19,D,42,99,88,C
242,Female,18,C,99,27,68,D
243,Male,18,E,50,50,33,F
244,Male,21,D,38,43,50,F
245,Male,21,D,,47,81,C
246,Female,20,D,42,57,77,F
247,Female,20,C,51,36,39,F
248,Female,18,D,37,39,96,F
249,Male,20,A,72,44,82,D
250,Male,20,A,85,57,41,D
251,Female,17,E,35,63,93,D
252,Male,21,A,59,35,68,F
253,Female,18,E,53,48,28,F
254,Female,19,C,,70,88,C
255,Male,20,E,74,100,62,C
256,Female,17,E,40,82,93,C
257,Female,21,B,92,67,56,C
258,Female,17,A,43,80,62,D
259,Male,21,A,62,91,43,D
260,Male,18,C,77,94,36,D
261,Male,18,E,72,80,39,D
262,Male,21,E,,91,100,B
263,Male,21,B,37,79,77,D
264,Female,21,E,27,50,76,F
265,Female,17,C,63,45,90,D
266,Male,21,E,74,94,63,C
267,Male,20,B,74,80,,D
268,Male,17,B,,31,30,F
269,Female,17,C,66,84,,D
270,Female,21,C,49,67,65,D
271,Female,18,A,99,40,36,F
272,Female,18,E,97,51,43,D
273,Male,21,D,94,99,96,A
274,Male,18,E,65,72,39,F
275,Female,17,C,89,44,51,D
276,Male,18,A,93,59,94,B
277,Male,20,A,100,,78,C
278,Female,17,E,34,38,48,F
279,Female,20,A,,59,82,C
280,Female,20,A,44,94,28,F
281,Male,20,C,74,60,41,F
282,Female,21,C,63,48,,F
283,Male,20,A,40,37,36,F
284,Female,20,D,55,40,35,F
285,Female,17,C,41,55,79,F
286,Female,18,E,36,94,83,C
287,Male,21,B,,26,62,F
288,Female,19,E,43,77,96,C
289,Female,17,A,,33,37,F
290,Male,20,B,33,30,94,F
291,Male,18,B,30,79,32,F
292,Female,17,C,58,,69,C
293,Male,21,A,38,41,37,F
294,Female,19,D,93,27,70,D
295,Male,19,B,48,71,87,D
296,Male,21,C,62,57,,F
297,Female,21,E,61,50,75,D
298,Male,18,B,53,91,,D
299,Male,19,A,85,83,70,C
300,Male,19,C,93,73,70,C
301,Male,20,E,,80,43,F
302,Female,20,B,87,67,74,C
303,Female,21,C,94,64,67,C
304,Female,18,C,86,27,75,D
305,Female,19,E,34,88,72,D
306,Female,19,E,29,89,81,D
307,Female,18,C,31,58,44,F
308,Male,18,D,99,75,86,B
309,Male,19,A,56,92,100,B
310,Female,19,D,67,,46,F
311,Male,20,D,43,60,85,D
312,Female,19,C,43,51,88,D
313,Male,18,A,50,48,86,D
314,Male,21,D,30,38,88,F
315,Female,20,C,55,92,89,C
316,Female,19,A,29,46,32,F
317,Male,19,E,,85,42,D
318,Female,20,D,79,59,92,C
319,Female,21,E,74,95,42,C
320,Female,18,A,63,78,37,F
321,Female,17,C,90,73,46,D
322,Female,19,B,56,58,77,D
323,Male,20,C,43,94,73,C
324,Male,18,C,91,35,30,F
325,Female,21,C,31,55,67,F
326,Female,21,B,60,55,36,F
327,Male,21,C,32,96,30,F
328,Male,21,E,74,95,77,B
329,Female,19,E,37,,83,F
330,Female,20,A,62,39,67,F
331,Female,19,C,30,30,87,F
332,Male,20,D,34,38,,F
333,Male,17,C,35,78,71,D
334,Female,20,C,73,30,70,F
335,Male,19,C,79,89,35,D
336,Male,21,B,72,66,63,D
337,Female,19,C,,95,30,C
338,Female,21,D,98,39,42,F
339,Female,17,A,83,75,80,C
340,Female,21,E,34,74,52,F
341,Male,20,D,73,83,30,D
342,Male,19,E,47,93,73,C
343,Female,19,C,100,52,73,C
344,Female,18,E,37,92,83,C
345,Male,20,E,96,71,45,C
346,Female,20,B,80,80,41,D
347,Male,18,B,78,88,76,B
348,Female,21,D,55,72,95,C
349,Female,19,C,28,93,42,F
350,Female,20,E,29,56,49,F
351,Female,21,D,26,100,,D
352,Female,17,A,56,62,29,F
353,Male,19,B,,34,54,F
354,Male,19,E,69,,68,C
355,Female,19,D,45,34,64,F
356,Male,17,D,36,44,51,F
357,Male,21,C,93,69,69,C
358,Male,18,E,34,36,64,F
359,Male,20,D,82,74,75,C
360,Female,20,E,43,28,85,F
361,Female,19,A,28,40,28,F
362,Male,21,D,92,90,64,B
363,Male,18,B,74,97,57,C
364,Male,19,D,29,67,27,F
365,Female,19,C,100,94,69,B
366,Female,18,D,73,27,42,F
367,Male,20,B,75,69,76,C
368,Female,19,C,33,55,31,F
369,Female,21,C,,37,64,D
370,Male,19,A,27,100,28,F
371,Female,17,C,57,29,69,F
372,Male,18,E,67,73,41,D
373,Female,18,E,61,98,34,D
374,Male,21,D,40,78,31,F
375,Male,19,A,25,93,73,D
376,Male,21,A,30,53,27,F
377,Female,19,E,60,40,30,F
378,Female,21,E,38,88,53,F
379,Female,20,A,41,88,26,F
380,Female,21,E,98,74,67,C
381,Male,18,D,,38,16,F
382,Female,18,E,47,99,33,F
383,Male,19,B,55,31,83,F
384,Female,20,C,35,59,79,F
385,Female,21,D,28,99,76,D
386,Female,18,A,51,82,54,D
387,Male,18,A,96,59,54,D
388,Male,21,D,29,56,60,F
389,Female,17,D,37,28,30,F
390,Female,19,C,81,56,49,D
391,Female,19,E,29,62,99,D
392,Female,18,D,39,12,90,D
393,Female,17,B,53,100,86,C
394,Female,18,C,,79,75,D
395,Male,21,C,68,41,44,F
396,Male,19,B,51,68,41,F
397,Female,17,C,39,93,88,C
398,Male,21,B,71,94,90,B
399,Female,20,B,81,54,74,D
400,Male,20,A,65,87,36,D
401,Male,18,E,56,48,81,D
402,Male,17,B,76,56,50,D
403,Female,17,B,65,64,,F
404,Female,21,E,,63,88,D
405,Male,17,A,55,,91,D
406,Female,18,E,95,73,47,C
407,Male,19,E,77,83,71,C
408,Male,19,D,91,49,44,D
409,Male,21,A,81,38,49,F
410,Female,19,E,78,73,69,C
411,Female,18,B,43,,76,F
412,Female,21,E,66,96,99,B
413,Male,21,B,29,72,85,D
414,Female,18,B,71,51,56,F
415,Female,21,E,51,91,27,F
416,Male,17,D,61,68,45,F
417,Male,21,A,72,33,45,F
418,Male,19,B,81,59,72,C
419,Male,18,B,71,36,39,F
420,Female,18,D,80,50,95,C
421,Male,19,D,98,61,70,C
422,Male,17,B,86,,61,D
423,Female,19,D,67,,55,F
424,Male,21,E,62,52,,C
425,Female,17,D,39,48,63,F
426,Female,19,B,27,49,41,F
427,Male,17,A,53,64,92,D
428,Female,17,B,56,80,63,D
429,Male,18,D,29,60,53,F
430,Female,21,C,66,84,96,B
431,Male,18,C,29,77,93,D
432,Female,21,C,44,70,52,F
433,Male,18,A,,63,80,D
434,Female,17,D,39,52,68,F
435,Female,18,B,,76,57,C
436,Female,17,B,90,34,41,F
437,Female,21,C,29,74,81,D
438,Female,18,E,94,100,,B
439,Male,18,D,92,53,61,D
440,Female,18,D,95,91,31,C
441,Male,20,D,43,81,87,C
442,Female,21,D,96,70,62,C
443,Female,20,C,35,89,93,C
444,Female,20,B,82,94,62,C
445,Female,20,B,52,85,54,D
446,Male,17,D,99,60,44,D
447,Female,18,B,95,49,79,C
448,Male,17,D,26,7,77,F
449,Female,19,E,97,91,60,B
450,Female,17,B,61,73,76,C
451,Male,20,D,38,37,97,F
452,Female,18,D,57,61,49,F
453,Male,18,E,99,75,72,B
454,Male,19,B,82,93,32,D
455,Female,17,E,,54,46,F
456,Male,17,B,88,31,,D
457,Female,18,E,6,43,43,F
458,Male,19,A,100,88,79,B
459,Male,21,A,59,80,,C
460,Male,17,E,94,86,27,D
461,Female,17,B,99,70,62,C
462,Female,18,E,35,,72,F
463,Male,21,A,30,39,85,F
464,Male,18,E,37,25,57,F
465,Female,19,B,75,71,90,C
466,Female,18,A,90,47,47,D
467,Male,18,A,80,39,81,D
468,Male,17,A,36,37,35,F
469,Female,18,E,98,0,41,D
470,Male,21,E,,82,54,D
471,Female,18,A,32,86,48,F
472,Male,21,D,82,31,60,F
473,Female,17,E,32,30,95,F
474,Male,20,D,73,70,,D
475,Male,17,B,89,,52,F
476,Female,20,C,90,76,48,C
477,Male,21,D,29,85,50,F
478,Male,18,A,83,84,51,C
479,Female,18,B,91,30,88,D
480,Female,20,B,99,92,72,B
481,Female,19,D,25,31,45,F
482,Male,21,B,94,,64,D
483,Female,18,D,33,78,34,F
484,Male,18,D,42,84,54,D
485,Male,19,D,91,35,37,F
486,Male,19,B,70,34,90,D
487,Male,19,A,36,77,59,F
488,Female,21,A,65,65,30,F
489,Male,21,A,,39,51,F
490,Male,19,A,62,93,62,C
491,Female,19,A,48,85,52,D
492,Male,17,C,68,,84,D
493,Female,20,E,73,80,34,D
494,Male,20,E,72,49,94,C
495,Female,17,C,41,27,57,F
496,Female,19,C,60,26,34,F
497,Female,21,E,57,48,41,F
498,Male,18,D,42,70,79,D
499,Female,19,E,99,94,91,A
500,Male,19,C,25,63,63,F
501,Male,21,A,,87,82,B
502,Female,18,A,48,28,49,F
503,Male,21,A,83,53,41,F
504,Female,17,C,68,62,63,D
505,Female,17,C,72,48,69,D
506,Male,17,B,44,96,78,C
507,Male,18,A,50,95,,D
508,Male,20,A,51,63,28,F
509,Female,20,B,85,78,,B
510,Male,21,C,49,,93,F
511,Male,17,D,80,31,39,F
512,Male,20,B,74,54,58,D
513,Female,20,A,37,41,72,F
514,Female,18,A,64,74,49,D
515,Female,18,C,72,30,68,F
516,Female,17,C,90,53,68,C
517,Male,21,D,41,67,48,F
518,Female,17,A,52,60,41,F
519,Male,20,E,54,69,47,F
520,Female,18,A,43,69,,F
521,Male,18,C,69,92,90,B
522,Male,19,E,78,33,75,D
523,Male,17,E,37,84,79,D
524,Male,19,A,71,73,41,D
525,Female,18,D,72,90,86,B
526,Female,21,A,33,29,84,F
527,Female,21,E,25,27,41,F
528,Male,19,B,67,53,56,F
529,Male,21,B,31,69,87,D
530,Female,17,B,26,85,30,F
531,Male,17,B,,81,89,B
532,Male,19,A,71,63,,F
533,Female,19,C,67,55,48,F
534,Female,20,C,56,82,64,D
535,Female,20,D,74,77,,D
536,Male,18,B,53,,80,D
537,Male,21,D,69,83,31,D
538,Female,21,D,25,79,60,F
539,Male,19,A,28,41,81,F
540,Female,21,B,98,96,54,B
541,Male,20,C,85,47,95,C
542,Male,17,D,29,81,52,F
543,Female,18,B,34,88,26,F
544,Female,20,D,29,95,42,F
545,Female,18,D,81,,67,D
546,Male,20,E,31,79,,F
547,Female,21,A,64,72,,D
548,Male,17,E,78,39,83,D
549,Male,20,D,96,6,80,A
550,Female,17,C,32,65,38,F
551,Female,20,C,38,98,99,C
552,Male,18,A,78,83,81,B
553,Female,21,A,27,81,79,D
554,Male,20,D,65,83,29,F
555,Male,21,C,97,37,54,D
556,Female,17,A,46,31,59,F
557,Male,20,A,34,46,89,F
558,Male,20,E,81,92,50,C
559,Female,17,A,86,52,33,F
560,Male,17,C,,98,68,C
561,Male,20,D,92,39,53,D
562,Female,19,A,87,84,29,D
563,Female,21,C,74,56,31,F
564,Female,20,C,32,45,98,F
565,Male,18,E,38,34,90,F
566,Female,18,D,38,32,,F
567,Female,21,D,78,100,,D
568,Male,18,A,94,96,,C
569,Male,20,C,65,27,97,D
570,Male,20,B,79,65,54,D
571,Female,20,C,90,39,90,C
572,Female,20,B,74,95,55,C
573,Female,20,B,59,26,70,F
574,Female,21,E,97,58,25,D
575,Female,17,A,99,42,31,F
576,Male,19,D,40,63,82,D
577,Female,17,C,54,44,74,F
578,Female,21,E,30,83,43,F
579,Female,20,A,34,34,76,F
580,Female,17,C,32,46,51,F
581,Male,17,A,62,,38,D
582,Male,19,D,58,74,86,C
583,Male,20,A,40,51,46,F
584,Male,19,E,36,99,82,C
585,Female,18,D,39,57,78,F
586,Male,21,C,44,,83,F
587,Female,21,E,85,43,32,F
588,Female,18,E,70,,47,C
589,Male,20,A,39,37,53,F
590,Male,17,A,28,47,100,F
591,Male,19,E,92,64,51,D
592,Male,20,E,31,29,84,F
593,Female,19,A,86,40,90,C
594,Male,20,B,62,59,52,F
595,Male,21,A,97,43,55,D
596,Male,19,C,71,67,76,C
597,Male,19,A,85,65,26,F
598,Female,18,B,73,95,43,C
599,Male,20,D,94,49,63,D
600,Male,20,A,95,50,75,C
601,Female,20,E,59,,27,F
602,Female,17,C,48,53,28,F
603,Male,21,C,94,31,5,C
604,Female,21,E,63,,28,F
605,Female,19,D,27,66,90,D
606,Male,19,E,26,53,95,F
607,Male,20,E,53,91,59,D
608,Male,17,D,73,99,48,C
609,Male,19,E,86,72,68,C
610,Female,18,B,77,,29,F
611,Male,20,A,76,80,83,C
612,Female,17,A,55,52,80,D
613,Male,20,D,100,67,74,B
614,Male,21,C,64,90,86,B
615,Female,18,B,54,82,50,D
616,Female,19,A,36,87,59,D
617,Male,21,C,65,,86,B
618,Female,19,C,39,71,39,F
619,Female,21,D,80,29,70,F
620,Female,18,A,93,35,72,D
621,Female,19,C,45,36,77,F
622,Male,17,D,98,65,76,C
623,Female,19,E,50,81,49,D
624,Female,18,C,34,35,,F
625,Female,17,B,,57,67,F
626,Female,17,C,51,,58,D
627,Female,18,B,91,65,49,D
628,Male,18,C,94,89,95,A
629,Female,17,E,45,43,42,F
630,Male,17,C,70,100,84,B
631,Male,21,A,38,37,27,F
632,Female,19,E,90,36,97,C
633,Female,21,C,49,29,55,F
634,Female,21,B,43,26,69,F
635,Male,19,A,25,98,100,C
636,Female,17,E,83,88,46,C
637,Male,17,C,29,68,74,F
638,Male,20,E,,45,85,D
639,Female,19,B,71,40,63,F
640,Female,18,A,71,34,25,F
641,Female,17,A,67,34,51,F
642,Female,21,C,59,74,70,D
643,Male,20,C,35,30,45,F
644,Female,20,D,54,,64,D
645,Female,21,A,26,80,68,F
646,Male,20,E,65,41,29,F
647,Female,18,D,36,32,65,F
648,Female,21,B,44,,35,F
649,Female,18,A,49,97,49,D
650,Female,17,A,50,59,47,F
651,Female,21,E,65,45,65,F
652,Female,21,B,,57,68,F
653,Male,21,A,83,64,88,C
654,Male,18,C,81,63,79,C
655,Male,20,B,66,93,69,C
656,Male,19,A,98,85,74,B
657,Male,20,A,56,67,71,D
658,Male,18,D,38,62,70,F
659,Male,17,B,65,77,48,D
660,Female,17,A,82,59,60,D
661,Female,21,A,75,62,58,D
662,Female,18,C,48,69,32,F
663,Male,21,D,,90,73,D
664,Female,20,A,61,28,43,F
665,Male,20,D,76,97,47,C
666,Female,20,B,76,35,32,F
667,Female,17,E,60,49,34,F
668,Female,20,C,16,55,69,C
669,Female,19,C,62,69,79,C
670,Female,20,C,35,69,91,D
671,Male,18,B,46,39,,F
672,Male,20,E,45,59,61,F
673,Female,19,D,61,74,51,D
674,Male,19,C,,76,28,D
675,Male,17,D,58,83,,D
676,Female,18,B,,55,63,F
677,Female,17,E,70,44,59,F
678,Female,18,A,89,,28,C
679,Female,18,D,98,,60,C
680,Male,17,E,42,37,40,F
681,Female,20,A,95,28,41,F
682,Male,18,E,56,70,73,D
683,Male,19,D,79,77,70,C
684,Male,18,C,95,47,26,F
685,Female,18,E,91,61,93,B
686,Female,21,D,35,63,41,F
687,Male,21,B,56,61,45,F
688,Female,18,D,36,51,31,F
689,Female,18,C,97,76,44,C
690,Male,19,C,27,56,93,F
691,Male,19,E,59,36,99,D
692,Male,20,B,56,66,79,D
693,Female,19,C,45,58,76,F
694,Male,19,A,62,84,72,C
695,Male,18,E,49,71,35,F
696,Male,19,D,69,33,28,F
697,Male,17,E,90,31,42,F
698,Female,18,D,27,79,38,F
699,Female,20,A,99,51,62,C
700,Male,17,D,27,82,38,F
701,Female,17,E,30,81,80,D
702,Female,19,D,35,74,74,D
703,Female,19,A,81,44,71,D
704,Female,18,A,37,58,95,D
705,Male,17,E,38,86,62,D
706,Female,17,B,38,41,87,F
707,Male,17,B,26,92,54,F
708,Male,21,C,43,58,35,F
709,Female,18,C,47,68,49,F
710,Male,20,C,73,35,50,F
711,Female,21,A,82,41,39,F
712,Male,17,B,33,57,30,F
713,Female,17,B,54,91,43,D
714,Male,21,E,32,81,42,F
715,Male,19,C,66,70,54,D
716,Female,19,B,83,,55,C
717,Female,21,B,49,88,77,C
718,Female,17,A,51,88,52,D
719,Female,18,B,31,32,75,F
720,Male,19,A,75,,88,D
721,Female,19,C,26,45,71,F
722,Male,21,B,87,25,75,D
723,Female,18,A,37,59,41,F
724,Female,18,B,51,93,34,F
725,Male,19,A,31,37,93,F
726,Male,18,C,85,67,60,C
727,Male,19,E,84,4,66,C
728,Female,21,C,56,49,84,D
729,Male,19,A,92,79,92,B
730,Male,19,C,67,79,80,C
731,Male,20,D,92,91,31,C
732,Male,18,E,93,30,77,D
733,Female,17,B,31,41,87,F
734,Female,21,A,50,32,55,F
735,Female,17,A,36,31,96,F
736,Male,17,E,59,82,51,D
737,Female,20,B,55,80,67,D
738,Female,19,D,72,46,26,F
739,Male,21,E,25,28,78,F
740,Male,21,B,97,74,63,C
741,Female,18,D,94,56,,F
742,Male,17,D,31,57,66,F
743,Male,17,A,55,81,38,F
744,Female,19,C,73,69,66,D
745,Male,20,E,69,61,98,C
746,Female,17,D,64,88,74,C
747,Male,19,D,84,49,92,C
748,Female,18,C,65,63,71,D
749,Female,20,B,84,59,98,B
750,Male,18,C,88,54,49,D
751,Female,19,E,48,62,26,F
752,Female,19,C,43,85,28,F
753,Female,18,B,48,30,67,F
754,Female,18,C,73,95,34,D
755,Female,20,E,58,41,30,F
756,Female,20,E,90,70,66,C
757,Male,17,D,25,43,66,F
758,Female,21,E,64,69,60,D
759,Male,19,A,41,37,26,F
760,Male,18,A,98,69,93,B
761,Female,19,E,81,81,49,C
762,Female,20,B,26,77,52,F
763,Male,19,E,34,54,73,F
764,Female,20,A,94,61,85,B
765,Male,18,E,37,85,25,F
766,Female,19,A,82,39,38,F
767,Male,21,B,51,99,74,C
768,Male,18,E,65,76,32,F
769,Male,17,B,75,89,48,C
770,Female,20,D,98,,74,B
771,Male,20,C,41,29,31,F
772,Male,19,D,43,,89,F
773,Female,20,A,34,59,87,D
774,Female,21,D,59,92,,D
775,Female,21,C,93,73,71,C
776,Female,17,D,48,30,94,F
777,Female,17,C,43,89,38,F
778,Female,19,E,74,88,79,B
779,Female,20,A,48,37,96,D
780,Female,21,D,46,75,35,F
781,Female,19,D,46,71,87,D
782,Male,19,A,29,86,63,F
783,Male,17,B,64,99,65,C
784,Female,18,A,77,71,34,D
785,Male,21,B,38,86,37,F
786,Male,20,D,80,100,72,B
787,Female,17,A,55,40,40,F
788,Male,18,E,40,64,29,F
789,Male,19,A,,76,80,D
790,Male,17,C,32,91,42,F
791,Male,18,E,97,57,29,D
792,Male,21,E,99,69,39,D
793,Female,17,C,43,60,62,F
794,Female,20,E,61,100,,D
795,Female,18,E,73,39,28,F
796,Male,21,D,36,51,89,F
797,Female,17,C,90,52,64,D
798,Female,21,C,67,96,99,B
799,Male,20,C,87,34,92,C
800,Male,17,B,100,36,71,D
801,Female,19,E,41,,89,D
802,Male,21,D,93,52,95,B
803,Female,20,B,67,71,58,D
804,Male,18,B,56,44,100,D
805,Male,20,A,80,97,61,C
806,Male,20,D,,33,65,F
807,Male,18,C,56,62,58,F
808,Male,20,A,32,46,,F
809,Male,21,D,27,25,,F
810,Female,20,D,87,92,82,B
811,Male,17,C,64,85,33,D
812,Female,20,D,39,32,35,F
813,Male,19,A,36,88,41,F
814,Male,20,E,41,98,84,C
815,Female,18,C,76,75,58,D
816,Male,19,B,86,44,87,C
817,Female,19,D,88,100,33,C
818,Male,20,E,93,93,80,B
819,Female,21,C,90,28,76,D
820,Female,19,D,97,65,97,B
821,Male,17,A,74,89,87,B
822,Male,21,B,53,29,62,F
823,Male,17,B,54,77,34,F
824,Male,20,C,38,28,26,F
825,Female,19,E,84,62,63,D
826,Male,18,E,84,49,45,F
827,Male,20,E,38,65,51,F
